NUMBER	X_IMAGE	Y_IMAGE	RA	DEC	A_IMAGE	B_IMAGE	THETA_IMAGE	ELLIPTICITY	FLUX_AUTO	FLUXERR_AUTO	MAG_AUTO	MAGERR_AUTO	KRON_RADIUS	R_EFF_PIX	R_EFF_ARCSEC	MU_EFF	SNR_TOTAL	FLUX_APER_5	FLUX_APER_10	FLUX_APER_20	FLUX_APER_40	SERSIC_N	SERSIC_RE	SERSIC_CHI2	MAG_SERSIC	MU_EFF_SERSIC	LSBG_CONF	LSBG_GRADE	FLAGS	LABEL	MATCH_INFO
333	5394.079	5357.795	21.3459168	-1.2287428	11.805	4.195	-0.021	0.6446	2.385574e+03	1.947998e+02	21.5560	0.0887	3.500	26.103	6.8651	28.4935	12.246	7.097628e+01	2.916131e+02	4.572734e+02	1.295750e+03	0.360	11.646	3.829	23.4422	26.7451	0.324	C	0	0	unmatched_383.82
334	4487.994	5335.824	21.4121262	-1.2303484	11.471	3.506	-76.197	0.6944	4.499669e+03	1.851022e+02	20.8670	0.0447	3.500	12.833	3.3752	26.1941	24.309	4.184695e+02	1.077481e+03	1.390937e+03	2.797202e+03	0.804	3.263	4.517	22.4534	23.9671	0.598	B	0	0	unmatched_244.45
335	5920.217	5385.306	21.3074710	-1.2267319	9.139	7.512	67.237	0.1779	4.936484e+03	2.570268e+02	20.7665	0.0565	3.970	10.427	2.7422	27.0527	19.206	5.880695e+01	3.317672e+02	7.948987e+02	1.264626e+03	0.699	4.076	3.963	23.9295	25.5320	0.637	B	0	0	unmatched_439.04
336	394.546	5403.963	21.7112391	-1.2253527	13.825	7.353	-73.313	0.4682	1.076494e+05	3.354483e+02	17.4200	0.0034	3.563	10.628	2.7950	26.0211	320.912	3.659853e+02	9.103965e+02	1.614856e+03	1.828953e+03	0.901	8.494	6.009	22.1395	25.6376	0.605	B	0	0	unmatched_411.76
337	3914.502	5423.596	21.4540323	-1.2239358	22.825	7.220	-76.890	0.6837	8.624022e+03	3.421629e+02	20.1607	0.0431	3.500	20.088	5.2830	26.4684	25.204	1.161863e+03	1.831013e+03	2.265678e+03	3.722409e+03	0.654	5.127	3.714	21.8164	23.9389	0.634	B	0	0	unmatched_121.92
338	12.303	5418.842	21.7391693	-1.2242624	16.199	6.611	-57.567	0.5919	3.372761e+03	2.084377e+02	21.1800	0.0671	3.500	16.585	4.3619	26.8962	16.181	1.365313e+02	4.319186e+02	1.340397e+03	1.978113e+03	0.360	21.560	3.424	22.0459	26.1148	0.526	B	16	0	unmatched_484.34
339	2581.521	5427.033	21.5514353	-1.2236811	10.639	6.297	45.024	0.4082	1.356098e+04	2.465242e+02	19.6693	0.0197	3.929	12.417	3.2656	27.3437	55.009	1.177050e+02	3.234123e+02	5.062972e+02	9.616792e+02	0.360	4.322	3.987	24.0437	25.7527	0.524	B	0	0	unmatched_158.84
340	2708.262	5439.573	21.5421741	-1.2227655	9.909	8.073	-69.117	0.1853	2.771432e+03	2.434355e+02	21.3932	0.0954	3.500	9.643	2.5361	25.3571	11.385	6.379322e+02	1.507084e+03	2.617504e+03	2.864494e+03	1.127	12.026	3.556	21.1724	25.4515	0.545	B	0	0	unmatched_188.25
341	5663.334	5497.462	21.3262421	-1.2185390	14.304	4.589	-74.561	0.6792	9.451026e+02	2.205410e+02	22.5613	0.2534	3.500	14.184	3.7304	28.4358	4.285	7.917812e+01	1.258569e+02	4.017107e+02	3.895447e+02	0.360	15.146	6.124	23.6989	27.4614	0.205	D	128	0	unmatched_438.15
342	6051.882	5510.865	21.2978504	-1.2175589	9.227	4.974	-19.433	0.4610	1.571359e+03	1.821614e+02	22.0093	0.1259	3.500	10.034	2.6388	26.5417	8.626	3.045696e+02	5.268284e+02	9.580821e+02	1.235147e+03	1.717	8.918	3.471	22.6347	25.9562	0.561	B	0	0	unmatched_484.94
